speed_corrected,rpm_corrected,tp_corrected,load_corrected,timing_corrected,outlier_speed,outlier_rpm,outlier_tp,outlier_load,outlier_timing
26,1297,12,6,-9,0,0,0,0,0
22,1082,11,7,-9,0,0,0,0,0
17,1468,20,22,-18,0,0,0,0,0
19,1701,22,27,13,0,0,0,0,0
21,1861,24,30,15,0,0,0,0,0
22,1976,25,31,15,0,0,0,0,0
24,2114,25,31,15,0,0,0,0,0
25,2213,25,29,15,0,0,0,0,0
27,2310,24,28,17,0,0,0,0,0
28,2404,25,29,18,0,0,0,0,0
29,2499,25,29,18,0,0,0,0,0
31,2585,23,26,18,0,0,0,0,0
31,2356.89,22,21,19,0,1,0,0,0
32,2293,23,25,10,0,0,0,0,0
33,1794,22,27,15,0,0,0,0,0
33,1745,21,27,15,0,0,0,0,0
34,1693,20,26,15,0,0,0,0,0
35,1705,17,18,14,0,0,0,0,0
34,1712,13,7,-5,0,0,0,0,0
34,1639,12,7,24,0,0,0,0,0
33,1626,13,6,-7,0,0,0,0,0
32,1566,12,7,-8,0,0,0,0,0
31,1520,12,7,-9,0,0,0,0,0
30,1463,12,7,-9,0,0,0,0,0
28,1376,12,6,-11,0,0,0,0,0
24,1217,12,5,10,0,0,0,0,0
20,1233,12,7,-6,0,0,0,0,0
19,1178,12,6,31,0,0,0,0,0
18,1447,17,17,-15,0,0,0,0,0
18,1616,19,23,14,0,0,0,0,0
19,1710,20,23,17,0,0,0,0,0
20,1806,21,25,17,0,0,0,0,0
22,1927,21,25,17,0,0,0,0,0
23,2024,21,25,18,0,0,0,0,0
25,2148,21,24,19,0,0,0,0,0
26,2239,20,21,20,0,0,0,0,0
28,2334,21,23,19,0,0,0,0,0
28,2404,22,23,3,0,0,0,0,0
29,1672,23,29,14,0,0,0,0,0
30,1639,23,30,14,0,0,0,0,0
32,1590,23,30,14,0,0,0,0,0
33,1671,22,30,15,0,0,0,0,0
35,1721,21,27,16,0,0,0,0,0
35,1715,13,10,9,0,0,0,0,0
34,1675,13,7,-5,0,0,0,0,0
34,1660,13,7,-6,0,0,0,0,0
33,1638,12,7,-6,0,0,0,0,0
31,1553,12,7,-9,0,0,0,0,0
30,1456,12,6,-9,0,0,0,0,0
29,1442,12,6,-9,0,0,0,0,0
30,1455,13,5,29,0,0,0,0,0
31,1496,16,12,15,0,0,0,0,0
32,1551,16,15,16,0,0,0,0,0
32,1596,16,14,15,0,0,0,0,0
34,1606,12,11,2,0,0,0,0,0
32,1591,13,7,-7,0,0,0,0,0
31,1539,12,7,-9,0,0,0,0,0
30,1478,12,7,-9,0,0,0,0,0
27,1314,12,6,-10,0,0,0,0,0
24,1215,12,6,3,0,0,0,0,0
21,1531,13,7,8,0,0,0,0,0
21,1543,13,7,7,0,0,0,0,0
20,1387,12,6,-3,0,0,0,0,0
19,1208,12,6,-4,0,0,0,0,0
16,1023,12,6,0,0,0,0,0,0
13,907,12,8,5,0,0,0,0,0
11,854,13,11,-4,0,0,0,0,0
10,828,15,12,-6,0,0,0,0,0
10,842,14,13,-9,0,0,0,0,0
8,831,15,15,2,0,0,0,0,0
8,847,15,18,-6,0,0,0,0,0
9,877,14,16,-4,0,0,0,0,0
10,1070,17,25,-3,0,0,0,0,0
11,1211,20,26,11,0,0,0,0,0
12,1270,20,25,12,0,0,0,0,0
14,1394,21,28,14,0,0,0,0,0
16,1534,20,25,15,0,0,0,0,0
18,1628,19,23,16,0,0,0,0,0
20,1717,18,21,18,0,0,0,0,0
20,1760,18,20,18,0,0,0,0,0
21,1817,17,18,18,0,0,0,0,0
22,1850,17,18,18,0,0,0,0,0
22,1864,17,17,18,0,0,0,0,0
22,1858,17,15,12,0,0,0,0,0
21,1645,13,9,-4,0,0,0,0,0
20,1507,13,8,28,0,0,0,0,0
18,1372,12,7,0,0,0,0,0,0
17,1343,14,11,1,0,0,0,0,0
15,1248,14,9,2,0,0,0,0,0
14,1049,13,9,-3,0,0,0,0,0
12,1061,16,23,-9,0,0,0,0,0
12,1202,18,26,3,0,0,0,0,0
12,1243,18,22,12,0,0,0,0,0
13,1351,21,27,12,0,0,0,0,0
16,1510,20,25,15,0,0,0,0,0
18,1600,20,24,15,0,0,0,0,0
19,1717,20,24,17,0,0,0,0,0
20,1807,20,25,17,0,0,0,0,0
19,1748,21,26,16,0,0,0,0,0
19,1732,21,26,16,0,0,0,0,0
18,1673,21,26,15,0,0,0,0,0
17,1611,21,26,15,0,0,0,0,0
16,1490,17,24,-6,0,0,0,0,0
14,1192,13,10,0,0,0,0,0,0
13,972,13,9,-5,0,0,0,0,0
12,896,13,9,-2,0,0,0,0,0
11,858,14,10,0,0,0,0,0,0
12,1111,16,19,3,0,0,0,0,0
12,1145,16,17,12,0,0,0,0,0
13,1169,16,17,13,0,0,0,0,0
13,1207,16,17,14,0,0,0,0,0
14,1183,14,16,-2,0,0,0,0,0
13,966,13,9,0,0,0,0,0,0
12,888,12,10,0,0,0,0,0,0
11,859,12,10,0,0,0,0,0,0
10,847,13,10,-3,0,0,0,0,0
10,837,14,12,-8,0,0,0,0,0
9,832,14,16,-4,0,0,0,0,0
8,846,15,19,-11,0,0,0,0,0
7,865,16,21,-12,0,0,0,0,0
5,867,19,25,-13,0,0,0,0,0
3,926,20,26,-13,0,0,0,0,0
1,966,20,27,-21,0,0,0,0,0
0,950,14,26,-18,0,0,0,0,0
0,942,17,21,-11,0,0,0,0,0
1,972,17,26,-15,0,0,0,0,0
2,960,15,22,-8,0,0,0,0,0
3,920,18,24,-12,0,0,0,0,0
2,934,20,27,-14,0,0,0,0,0
2,943,19,27,-13,0,0,0,0,0
1,936,16,27,-11,0,0,0,0,0
0,981,17,25,-9,0,0,0,0,0
0,1023,10,14,-9,0,0,0,0,0
